marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
JEEP,CHEROKEE LIMITED,3239,AUTOMATICA,NAFTA,12.8,7.1,9.2
JEEP,CHEROKEE SPORT,3239,AUTOMATICA,NAFTA,12.8,7.1,9.2
JEEP,CHEROKEE LONGITUDE,3239,AUTOMATICA,NAFTA,12.8,7.1,9.2
JEEP,CHEROKEE TRAILHAWK,3239,AUTOMATICA,NAFTA,13.3,8.3,10.1
ISUZU,D-MAX,2999,AUTOMATICA,GAS OIL,9.28,7.37,8.06
ISUZU,D-MAX,2999,MANUAL,GAS OIL,9.67,7.43,8.25
BMW,X5 xDRIVE 40i (5 ASIENTOS),2998,AUTOMATICA,NAFTA,11.2,8.1,9.2
BMW,X5 xDRIVE 40i (7 ASIENTOS),2998,AUTOMATICA,NAFTA,11.6,8.2,9.4
BMW,M850i xDRIVE,4395,AUTOMATICA,NAFTA,14.6,8.0,10.4
MERCEDES-BENZ,X 350 d 4MATIC,2987,AUTOMATICA,GAS OIL,10.3,8.3,9.0
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,2996,AUTOMATICA,NAFTA,13.5,7.6,9.7
FORD,ECOSPORT,1497,AUTOMATICA,NAFTA,9.01,5.67,6.9
RENAULT,ALASKAN 2.3 160 HP 4x4 MT,2298,MANUAL,GAS OIL,7.8,6.3,6.9
FORD,ECOSPORT,1497,MANUAL,NAFTA,8.32,5.34,6.44
VOLKSWAGEN,VENTO,1984,AUTOMATICA,NAFTA,9.6,5.78,7.16
MERCEDES-BENZ,A 200,1332,AUTOMATICA,NAFTA,7.4,4.9,5.8
RENAULT,ALASKAN 2.3 160 HP 4x2 MT,2298,MANUAL,GAS OIL,7.8,6.1,6.7
FORD,RANGER RAPTOR,1996,AUTOMATICA,GAS OIL,9.4,7.6,8.3
MERCEDES-BENZ,E 450 4MATIC,2996,AUTOMATICA,NAFTA,12.5,7.3,9.1
SUZUKI,JIMNY,1462,AUTOMATICA,NAFTA,8.2,6.1,6.9
TOYOTA,RAV4,2487,AUTOMATICA,NAFTA,9.45,6.2,7.4
